LegLength,Frequency,SurvivalTime,Distance,CoT,Speed
0.1,0.5,0.4500,-0.0429,0.4369,0.0953
0.1,0.75,0.4700,-0.0369,0.8046,0.0786
0.1,1.0,0.2560,-0.0367,0.8467,0.1432
0.1,1.25,0.2620,-0.0373,0.9175,0.1425
0.1,1.5,0.2520,-0.0305,1.0649,0.1209
0.1,1.75,1.0460,0.0499,5.0862,0.0477
0.1,2.0,5.0020,0.6964,2.3363,0.1392
0.1,2.25,5.0020,0.8664,2.2633,0.1732
0.1,2.5,5.0020,0.7529,3.2620,0.1505
0.1,2.75,5.0020,0.5062,5.9859,0.1012
0.15,0.5,0.5880,-0.1162,0.1882,0.1976
0.15,0.75,0.5020,-0.1232,0.2461,0.2453
0.15,1.0,0.5600,-0.1465,0.4146,0.2617
0.15,1.25,1.1400,-0.1588,0.8478,0.1393
0.15,1.5,0.9640,-0.1129,1.3300,0.1171
0.15,1.75,0.8500,-0.1683,0.9972,0.1980
0.15,2.0,1.0040,-0.1402,2.1411,0.1396
0.15,2.25,1.2520,-0.1335,3.4147,0.1066
0.15,2.5,1.4840,-0.1227,5.7769,0.0827
0.15,2.75,1.3900,-0.1085,7.2714,0.0780
0.2,0.5,0.5300,-0.1442,0.1675,0.2721
0.2,0.75,0.4940,-0.1534,0.2209,0.3106
0.2,1.0,0.8840,-0.1843,0.4653,0.2085
0.2,1.25,0.5280,-0.1233,0.7195,0.2335
0.2,1.5,0.7700,-0.0986,1.4092,0.1280
0.2,1.75,1.4380,-0.1025,3.3591,0.0713
0.2,2.0,1.0080,-0.1837,1.9652,0.1822
0.2,2.25,1.3380,-0.1931,4.2248,0.1443
0.2,2.5,1.0420,-0.0956,7.8474,0.0918
0.2,2.75,0.9500,-0.1358,5.8795,0.1430
0.25,0.5,0.5680,-0.1820,0.1441,0.3203
0.25,0.75,0.5580,-0.1805,0.2247,0.3236
0.25,1.0,1.4320,-0.1797,0.8984,0.1255
0.25,1.25,0.5680,-0.1033,0.9797,0.1818
0.25,1.5,0.6420,-0.1408,0.9547,0.2192
0.25,1.75,0.7300,-0.1796,1.3999,0.2460
0.25,2.0,1.1940,-0.2964,1.7313,0.2482
0.25,2.25,1.4120,-0.1776,5.3466,0.1258
0.25,2.5,1.3140,-0.1916,5.5597,0.1458
0.25,2.75,2.7820,-0.0071,999.0000,0.0026
0.3,0.5,0.6220,-0.2170,0.1327,0.3488
0.3,0.75,0.6220,-0.2092,0.2499,0.3363
0.3,1.0,0.6660,-0.2012,0.5110,0.3021
0.3,1.25,1.6280,-0.0852,3.5116,0.0524
0.3,1.5,0.6980,-0.1438,1.1534,0.2061
0.3,1.75,5.0020,0.0307,48.5903,0.0061
0.3,2.0,5.0020,-0.0872,20.1309,0.0174
0.3,2.25,2.2900,-0.1865,7.0921,0.0814
0.3,2.5,2.0340,-0.1553,10.9381,0.0763
0.3,2.75,1.5380,-0.1200,10.2974,0.0780
